BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4133;Burg (AG);2018-09-23;561.0;...;185.0;1.0;...;184.0;45.0;139.0;169.0;...;...;17.0
4134;Dürrenäsch;2018-09-23;881.0;...;294.0;4.0;...;290.0;49.0;241.0;296.0;5.0;...;5.0
4135;Gontenschwil;2018-09-23;1469.0;...;423.0;3.0;...;420.0;85.0;335.0;420.0;4.0;...;13.0
4136;Holziken;2018-09-23;967.0;...;262.0;2.0;...;260.0;38.0;222.0;253.0;...;...;10.0
4137;Leimbach (AG);2018-09-23;326.0;...;127.0;...;...;127.0;19.0;108.0;126.0;...;...;2.0
4138;Leutwil;2018-09-23;589.0;...;249.0;1.0;...;248.0;52.0;196.0;249.0;3.0;...;10.0
4139;Menziken;2018-09-23;3166.0;...;940.0;13.0;...;927.0;186.0;741.0;938.0;7.0;...;15.0
4140;Oberkulm;2018-09-23;1718.0;...;586.0;6.0;2.0;578.0;132.0;446.0;574.0;5.0;...;21.0
4141;Reinach (AG);2018-09-23;4333.0;...;1328.0;10.0;7.0;1311.0;332.0;979.0;1316.0;20.0;...;45.0
4142;Schlossrued;2018-09-23;637.0;...;205.0;2.0;...;203.0;59.0;144.0;184.0;...;...;25.0
4143;Schmiedrued;2018-09-23;877.0;...;260.0;3.0;...;257.0;71.0;186.0;251.0;1.0;...;14.0
4144;Schöftland;2018-09-23;3050.0;...;1071.0;8.0;...;1063.0;237.0;826.0;1072.0;5.0;...;10.0
4145;Teufenthal (AG);2018-09-23;1052.0;...;340.0;3.0;...;337.0;76.0;261.0;325.0;3.0;...;21.0
4146;Unterkulm;2018-09-23;1809.0;...;566.0;3.0;5.0;558.0;154.0;404.0;579.0;14.0;...;7.0
4147;Zetzwil;2018-09-23;939.0;...;313.0;1.0;...;312.0;69.0;243.0;310.0;1.0;...;4.0
4161;Eiken;2018-09-23;1489.0;...;444.0;4.0;...;440.0;84.0;356.0;430.0;6.0;...;22.0
4163;Frick;2018-09-23;3353.0;...;1207.0;11.0;...;1196.0;223.0;973.0;1178.0;9.0;...;42.0
4164;Gansingen;2018-09-23;770.0;...;276.0;6.0;...;270.0;49.0;221.0;277.0;4.0;...;7.0
4165;Gipf-Oberfrick;2018-09-23;2500.0;...;948.0;8.0;...;940.0;225.0;715.0;897.0;18.0;...;76.0
4166;Herznach;2018-09-23;1053.0;...;392.0;6.0;3.0;383.0;69.0;314.0;387.0;9.0;...;17.0
