BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
4273;Bottenwil;2023-06-18;613.0;227.0;2.0;0.0;11.0;230.0;5.0;1.0;224.0;84.0;140.0
4274;Brittnau;2023-06-18;2987.0;1061.0;6.0;0.0;57.0;1047.0;37.0;0.0;1010.0;435.0;575.0
4275;Kirchleerau;2023-06-18;634.0;261.0;0.0;0.0;14.0;264.0;5.0;0.0;259.0;91.0;168.0
4276;Kölliken;2023-06-18;2977.0;1101.0;23.0;0.0;55.0;1062.0;39.0;0.0;1023.0;455.0;568.0
4277;Moosleerau;2023-06-18;651.0;218.0;3.0;0.0;30.0;238.0;5.0;0.0;233.0;74.0;159.0
4279;Murgenthal;2023-06-18;1968.0;655.0;14.0;0.0;62.0;676.0;27.0;0.0;649.0;264.0;385.0
4280;Oftringen;2023-06-18;7277.0;2193.0;37.0;0.0;110.0;2142.0;71.0;0.0;2071.0;950.0;1121.0
4281;Reitnau;2023-06-18;1124.0;434.0;13.0;0.0;14.0;420.0;11.0;0.0;409.0;128.0;281.0
4282;Rothrist;2023-06-18;5793.0;1783.0;30.0;0.0;65.0;1730.0;56.0;0.0;1674.0;705.0;969.0
4283;Safenwil;2023-06-18;2662.0;859.0;6.0;0.0;44.0;861.0;23.0;0.0;838.0;355.0;483.0
4284;Staffelbach;2023-06-18;930.0;324.0;2.0;0.0;27.0;336.0;10.0;0.0;326.0;103.0;223.0
4285;Strengelbach;2023-06-18;2949.0;1107.0;5.0;0.0;60.0;1104.0;33.0;0.0;1071.0;516.0;555.0
4286;Uerkheim;2023-06-18;1029.0;381.0;5.0;0.0;5.0;359.0;10.0;0.0;349.0;102.0;247.0
4287;Vordemwald;2023-06-18;1477.0;625.0;10.0;0.0;17.0;602.0;23.0;0.0;579.0;254.0;325.0
4288;Wiliberg;2023-06-18;137.0;70.0;0.0;0.0;2.0;69.0;1.0;0.0;68.0;21.0;47.0
4289;Zofingen;2023-06-18;8331.0;3735.0;33.0;0.0;78.0;3633.0;112.0;1.0;3520.0;1882.0;1638.0
4303;Böttstein;2023-06-18;2052.0;770.0;8.0;0.0;31.0;776.0;23.0;0.0;753.0;347.0;406.0
4304;Döttingen;2023-06-18;2039.0;728.0;7.0;0.0;16.0;715.0;17.0;0.0;698.0;327.0;371.0
4305;Endingen;2023-06-18;1713.0;754.0;5.0;0.0;23.0;752.0;25.0;0.0;727.0;340.0;387.0
4306;Fisibach;2023-06-18;306.0;120.0;2.0;0.0;9.0;120.0;6.0;0.0;114.0;44.0;70.0
4307;Full-Reuenthal;2023-06-18;620.0;278.0;1.0;0.0;28.0;293.0;8.0;0.0;285.0;114.0;171.0
4309;Klingnau;2023-06-18;2042.0;913.0;9.0;0.0;39.0;907.0;19.0;6.0;882.0;418.0;464.0
4310;Koblenz;2023-06-18;794.0;263.0;2.0;0.0;8.0;263.0;1.0;0.0;262.0;128.0;134.0
4311;Leibstadt;2023-06-18;765.0;297.0;4.0;0.0;15.0;306.0;6.0;0.0;300.0;123.0;177.0
4312;Lengnau (AG);2023-06-18;1955.0;945.0;11.0;0.0;46.0;924.0;25.0;0.0;899.0;406.0;493.0
4313;Leuggern;2023-06-18;1490.0;633.0;8.0;0.0;25.0;636.0;22.0;0.0;614.0;239.0;375.0
4314;Mellikon;2023-06-18;162.0;72.0;0.0;0.0;20.0;91.0;4.0;0.0;87.0;47.0;40.0
4318;Schneisingen;2023-06-18;1115.0;510.0;4.0;0.0;37.0;525.0;13.0;0.0;512.0;223.0;289.0
4319;Siglistorf;2023-06-18;443.0;212.0;0.0;0.0;7.0;211.0;6.0;0.0;205.0;82.0;123.0
4320;Tegerfelden;2023-06-18;846.0;353.0;3.0;0.0;12.0;358.0;12.0;1.0;345.0;145.0;200.0
4324;Zurzach;2023-06-18;4377.0;1607.0;23.0;0.0;54.0;1596.0;55.0;0.0;1541.0;807.0;734.0
